Scientific_Name,Common_Name,Genus,Family,SRS,Lower,Upper,Range,SRC,Red List Status,Avg_ABM,BMC ,HR,GL,IUCN Land Regions,E_Asia,Europe,M_America,N_Africa,N_Asia,SSE_Asia,SS_Africa,WC_Asia,S_America,N_America,Caribbean,Oceania,IUCN_Habitats,Forest,Shrubland,Savanna,Grassland,Desert,Wetlands,Rocky,Marine_Intertidal,Marine_Coastal/Supratidal,Artificial/Terrestrial,Introduced Vegetation,Other,Unknown,Geog_Range,,,
Felis chaus,Jungle Cat,Felis,Felidae,55.6,44.4,55.6,11.2,Moderately Depleted,Least Concern,10,M,5.88,5.22,"East Asia, North Africa, North Asia, South and Southeast Asia, West and Central Asia",1,0,0,1,1,1,0,1,0,0,0,0,"Forest, Savanna, Shrubland, Grassland, Wetlands (inland), Desert",1,1,1,1,1,1,0,0,0,0,0,0,0,5 to 10,,,
Felis margarita,Sand Cat,Felis,Felidae,55.6,33.3,77.8,44.5,Indeterminate,Least Concern,2.25,S,24.44,4,"North Africa, Sub-Saharan Africa, West and Central Asia",0,0,0,1,0,0,1,1,0,0,0,0,Desert,0,0,0,0,1,0,0,0,0,0,0,0,0,0.1 to 1,,,
Felis silvestris,European Wildcat,Felis,Felidae,55.6,44.4,72.2,27.8,Moderately Depleted,Least Concern,4.7,S,1.5,8,"Europe, North Asia, West and Central Asia",0,1,0,0,1,0,0,1,0,0,0,0,"Forest, Shrubland, Grassland, Wetlands (inland), Rocky areas (eg. inland cliffs, mountain peaks), Artificial/Terrestrial",1,1,0,1,0,1,1,0,0,1,0,0,0,1 to 5,,,
Felis bieti,Chinese Mountain Cat,Felis,Felidae,33.3,33.3,33.3,0,Largely Depleted,Vulnerable,6.5,M,3.04,2,East Asia,1,0,0,0,0,0,0,0,0,0,0,0,"Forest, Shrubland, Grassland, Desert",1,1,0,1,1,0,0,0,0,0,0,0,0,0.1 to 1,,,
Felis nigripes,Black-footed Cat,Felis,Felidae,33.3,33.3,33.3,0,Largely Depleted,Vulnerable,2,S,10.93,4.62,Sub-Saharan Africa,0,0,0,0,0,0,1,0,0,0,0,0,"Savanna, Grassland, Desert",0,0,1,1,1,0,0,0,0,0,0,0,0,1 to 5,,,
Felis lybica,Afro-Asiatic Wildcat,Felis,Felidae,88.9,33.3,100,66.7,Indeterminate,Least Concern,5,S,4.7,8,"East Asia, Europe, North Africa, North Asia, South and Southeast Asia, Sub-Saharan Africa, West and Central Asia",1,1,0,1,1,1,1,1,0,0,0,0,"Forest, Savanna, Shrubland, Grassland, Desert, Artificial/Terrestrial",1,1,1,1,1,0,0,0,0,1,0,0,0,>20,,,
Panthera leo,Lion,Panthera,Felidae,41.7,41.7,41.7,0,Largely Depleted,Vulnerable,155.8,L,367,6.98,"North Africa, South and Southeast Asia, Sub-Saharan Africa, West and Central Asia",1,0,0,1,0,1,1,1,0,0,0,0,"Forest, Savanna, Shrubland, Grassland, Desert",1,1,1,1,1,0,0,0,0,0,0,0,0,10 to 20,,,
Panthera pardus,Leopard,Panthera,Felidae,33.3,33.3,33.3,0,Largely Depleted,Vulnerable,52.4,L,21,7.42,"East Asia, North Africa, North Asia, South and Southeast Asia, Sub-Saharan Africa, West and Central Asia",1,0,0,1,1,1,1,1,0,0,0,0,"Forest, Savanna, Shrubland, Grassland, Rocky areas (eg. inland cliffs, mountain peaks), Desert",1,1,1,1,1,0,1,0,0,0,0,0,0,>20,,,
Panthera tigris,Tiger,Panthera,Felidae,25,25,25,0,Largely Depleted,Endangered,161,L,317,8.5,"East Asia, North Asia, South and Southeast Asia, West and Central Asia",1,0,0,0,1,1,0,1,0,0,0,0,"Forest, Savanna, Shrubland, Grassland, Wetlands (inland), Marine Coastal/Supratidal, Artificial/Terrestrial",1,1,1,1,0,1,0,0,1,1,0,0,0,0.1 to 1,,,
Panthera onca,Jaguar,Panthera,Felidae,37.5,37.5,37.5,0,Largely Depleted,Near Threatened,97,L,57,6.84,"Mesoamerica, North America, South America",0,0,1,0,0,0,0,0,1,1,0,0,"Forest, Savanna, Shrubland, Grassland, Wetlands (inland), Artificial/Terrestrial",1,1,1,1,0,1,0,0,0,1,0,0,0,5 to 10,,,
Panthera uncia,Snow Leopard,Panthera,Felidae,55.6,44.4,66.7,22.3,Moderately Depleted,Vulnerable,50,L,349.4,7.54,"East Asia, North Asia, South and Southeast Asia, West and Central Asia",1,0,0,0,1,1,0,1,0,0,0,0,"Forest, Shrubland, Grassland, Rocky areas (eg. inland cliffs, mountain peaks)",1,1,0,1,0,0,1,0,0,0,0,0,0,1 to 5,,,
